Día,Ene,Feb
1,27565.79,27545.34
2,27565.79,27544.45
3,27565.79,27543.56
4,27565.79,27542.67
5,27565.79,27541.78
6,27565.79,27540.89
7,27565.79,27540.00
8,27565.79,27539.11
9,27565.79,27538.22
10,27564.90,27539.20
11,27564.01,27540.19
12,27563.12,27541.17
13,27562.23,27542.15
14,27561.34,27543.14
15,27560.45,27544.12
16,27559.56,27545.10
17,27558.67,27546.09
18,27557.78,27547.07
19,27556.89,27548.05
20,27556.01,27549.04
21,27555.12,27550.02
22,27554.23,27551.00
23,27553.34,27551.99
24,27552.45,27552.97
25,27551.56,27553.95
26,27550.67,27554.94
27,27549.78,27555.92
28,27548.89,27556.90
29,27548.00
30,27547.11
31,27546.22
